workerid,filler,stimulus,topic,prosody,adj_1,adj_2,adj_1_pole,not_paid_attention,num_plays,time,agree,like,friendly,happy,open_answer
1,False,ice_cream_neg,ice cream,contrastive,bad,bad,neg,False,1,17712,0.49,0.29,0.77,0.52,
1,False,movie_neg,movie,contrastive,boring,boring,neg,False,1,12209,0.49,0.49,0.5,0.57,
1,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,11386,0.38,0.2,0.26,0.85,
2,False,cake_neg,cake,contrastive,good,good,pos,False,1,9568,0.71,0.78,0.55,0.59,
2,False,ice_cream_neg,ice cream,contrastive,bad,bad,neg,False,1,11249,0.42,0.52,0.3,0.69,
2,False,theatre_neg,theatre,contrastive,dreary,dreary,neg,False,1,10850,0.45,0.52,0.33,0.72,
3,False,movie_neg,movie,contrastive,boring,boring,neg,False,1,44392,0.56,0.7,0.41,0.5,tired
3,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,25993,0.55,0.39,0.46,0.39,apprehensive
3,False,theatre_neg,theatre,contrastive,dreary,dreary,neg,False,1,39968,0.76,0.42,0.7,0.87,questioning
4,False,ice_cream_neg,ice cream,contrastive,bad,bad,neg,False,1,19120,0.66,0.82,0.58,0.24,confused
4,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,28097,0.69,0.24,0.61,0.22,talkative
4,False,theatre_neg,theatre,contrastive,dreary,dreary,neg,False,2,20501,0.63,0.74,0.41,0.13,questioning
5,False,restaurant_neg,restaurant,contrastive,cozy,cozy,pos,False,1,47816,0.47,0.54,0.38,0.31,"speaker 2 thinks it was cozy but could have been better, she feels slight disagreement with speaker1"
5,False,scarf_neg,scarf,contrastive,cute,cute,pos,False,1,72624,0.48,0.61,0.55,0.43,speaker 2 thinks it was cute but it could have been better.  She mildly disagrees that it was as cute as speaker 1 thinks it is
